Order Date,Product,Category,Region,Customer Name,Quantity,Sales
2024-01-01 00:00:00.000000,Desk Lamp,Furniture,East,Customer 6191,4,244.74
2024-01-01 17:33:18.396793,Desk Lamp,Furniture,East,Customer 6578,2,75.13
2024-01-02 11:06:36.793587,Mechanical Keyboard,Accessories,Central,Customer 1769,3,281.99
2024-01-03 04:39:55.190380,Monitor Arm,Furniture,West,Customer 7420,2,307.05
2024-01-03 22:13:13.587174,Laptop Stand,Furniture,North,Customer 9666,5,230.03
2024-01-04 15:46:31.983967,Laptop Stand,Furniture,East,Customer 2899,4,180.51
2024-01-05 09:19:50.380761,Noise Cancelling Headphones,Electronics,Central,Customer 4890,1,36.26
2024-01-06 02:53:08.777555,Wireless Mouse,Accessories,North,Customer 9433,2,87.94
2024-01-06 20:26:27.174348,Laptop Stand,Furniture,West,Customer 7235,5,123.5
2024-01-07 13:59:45.571142,Desk Lamp,Furniture,East,Customer 4152,4,228.42
2024-01-08 07:33:03.967935,Noise Cancelling Headphones,Electronics,South,Customer 4843,4,93.7
2024-01-09 01:06:22.364729,Desk Lamp,Furniture,West,Customer 1161,2,48.95
2024-01-09 18:39:40.761523,Mechanical Keyboard,Accessories,Central,Customer 7863,4,62.97
2024-01-10 12:12:59.158316,Desk Lamp,Furniture,South,Customer 5859,5,766.06
2024-01-11 05:46:17.555110,Webcam HD,Electronics,Central,Customer 1064,1,54.19
2024-01-11 23:19:35.951903,Wireless Mouse,Accessories,East,Customer 6618,1,46.86
2024-01-12 16:52:54.348697,USB-C Hub,Accessories,East,Customer 6892,3,48.84
2024-01-13 10:26:12.745490,Laptop Stand,Furniture,North,Customer 4104,1,41.07
2024-01-14 03:59:31.142284,Desk Lamp,Furniture,West,Customer 9154,5,177.14
2024-01-14 21:32:49.539078,USB-C Hub,Accessories,East,Customer 4840,5,626.61
2024-01-15 15:06:07.935871,Desk Lamp,Furniture,South,Customer 8721,3,44.45
2024-01-16 08:39:26.332665,USB-C Hub,Accessories,Central,Customer 7019,1,48.67
2024-01-17 02:12:44.729458,Desk Lamp,Furniture,East,Customer 5636,5,567.46
2024-01-17 19:46:03.126252,Noise Cancelling Headphones,Electronics,West,Customer 3693,3,104.09
2024-01-18 13:19:21.523046,Mechanical Keyboard,Accessories,East,Customer 2663,4,191.07
2024-01-19 06:52:39.919839,Mechanical Keyboard,Accessories,North,Customer 2306,1,118.25
2024-01-20 00:25:58.316633,Mechanical Keyboard,Accessories,East,Customer 8526,5,69.97
2024-01-20 17:59:16.713426,USB-C Hub,Accessories,Central,Customer 1663,1,97.97
2024-01-21 11:32:35.110220,Monitor Arm,Furniture,North,Customer 2853,1,49.25
2024-01-22 05:05:53.507014,Mechanical Keyboard,Accessories,South,Customer 8554,4,345.66
2024-01-22 22:39:11.903807,Wireless Mouse,Accessories,North,Customer 5737,1,34.38
2024-01-23 16:12:30.300601,Desk Lamp,Furniture,North,Customer 7528,5,710.93
2024-01-24 09:45:48.697394,Laptop Stand,Furniture,South,Customer 6791,5,227.38
2024-01-25 03:19:07.094188,Desk Lamp,Furniture,East,Customer 5218,4,455.25
2024-01-25 20:52:25.490981,Monitor Arm,Furniture,South,Customer 1197,5,220.45
2024-01-26 14:25:43.887775,Desk Lamp,Furniture,West,Customer 5282,1,14.06
2024-01-27 07:59:02.284569,Webcam HD,Electronics,West,Customer 8098,3,127.45
2024-01-28 01:32:20.681362,Laptop Stand,Furniture,East,Customer 3911,3,330.92
2024-01-28 19:05:39.078156,Wireless Mouse,Accessories,South,Customer 5736,1,155.27
2024-01-29 12:38:57.474949,Wireless Mouse,Accessories,South,Customer 1262,1,25.8
2024-01-30 06:12:15.871743,Laptop Stand,Furniture,West,Customer 3049,1,49.47
2024-01-30 23:45:34.268537,Monitor Arm,Furniture,Central,Customer 8158,4,232.27
2024-01-31 17:18:52.665330,USB-C Hub,Accessories,East,Customer 5499,3,484.84
2024-02-01 10:52:11.062124,Noise Cancelling Headphones,Electronics,West,Customer 2648,1,139.85
2024-02-02 04:25:29.458917,Monitor Arm,Furniture,East,Customer 3557,4,391.69
